id,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34
l14,6,6,6,6,6,5,6,5,5,5,5,6,6,5,7,5,6,6,5,5,6,7,5,6,4,6,6,6,6,7,5,7,6,5
l15,5,5,5,5,5,6,5,5,6,5,5,6,6,6,3,4,5,5,4,7,6,5,6,5,7,5,6,4,4,6,5,7,5,5
l16,5,5,5,5,5,4,5,4,5,5,6,5,5,5,6,3,5,3,5,5,6,5,4,4,5,5,6,5,5,6,5,4,7,5
l17,6,5,6,5,6,6,6,6,5,6,7,6,6,6,5,5,5,4,7,5,5,6,5,7,6,4,5,6,6,5,5,6,6,6
l18,5,5,5,5,5,5,6,5,6,5,6,6,5,5,4,6,6,6,5,5,6,6,5,6,5,4,6,4,4,5,4,6,5,5
l19,6,6,5,6,5,7,6,6,5,6,7,6,6,5,3,5,5,4,6,6,7,6,6,6,6,6,7,6,5,5,5,5,5,5
l20,6,6,5,6,7,6,6,5,6,6,7,6,6,5,5,6,7,4,7,6,5,5,6,6,5,6,7,6,6,6,6,7,6,6
l21,6,6,5,6,6,5,6,5,6,6,7,6,4,6,6,5,6,5,6,5,5,5,6,5,4,5,5,5,5,5,6,4,6,5
l22,7,6,7,7,7,6,7,7,6,7,7,7,6,6,5,7,7,6,6,6,6,5,7,7,6,7,6,6,7,7,6,5,7,7
l23,7,5,5,6,6,6,6,6,6,5,5,5,6,5,4,5,5,6,6,6,6,6,5,7,6,6,6,6,5,7,6,5,6,6
l24,4,4,4,3,4,3,4,4,4,4,5,4,4,4,5,4,6,4,4,3,4,7,5,3,5,4,5,4,5,5,6,4,4,5
l25,5,4,5,5,5,4,5,5,5,4,5,5,3,5,5,4,6,4,6,5,5,7,4,5,4,4,5,4,4,6,4,6,5,6
l26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,6,7,5,6,6,7,6,7,7,7,6,7,5,6,7
l27,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,5,7,7,7,4,4,7,7,7,7,7,7,7,7,7,5,6
l28,5,4,5,5,5,5,4,4,5,5,6,4,5,4,4,4,5,6,5,5,4,6,4,5,4,4,5,5,6,4,4,5,5,6
l29,7,6,7,7,7,7,6,7,6,6,7,7,5,6,6,6,7,6,4,6,7,5,6,7,6,7,7,5,6,7,6,5,6,5
l30,6,4,5,5,5,5,5,6,4,6,6,4,6,4,4,5,6,4,6,5,5,5,6,4,5,4,6,6,4,5,5,7,7,5
l31,5,5,5,5,5,5,4,6,6,5,5,5,5,5,5,4,6,5,7,4,5,6,6,6,4,4,5,5,5,5,3,6,5,6
l32,6,5,5,5,6,6,5,6,5,5,5,6,6,7,5,5,6,5,5,5,5,5,6,5,4,6,5,5,4,7,7,5,7,4
l33,7,7,6,7,6,6,6,6,5,7,6,7,6,6,5,6,6,5,5,6,6,7,5,6,5,6,6,7,7,7,5,5,5,7
l34,6,7,6,6,6,6,6,6,5,6,6,6,6,6,4,7,6,7,6,6,6,7,5,6,6,5,6,7,6,6,7,6,6,6
l35,7,6,7,7,7,7,7,7,6,7,7,7,5,6,5,6,6,5,5,7,6,6,6,7,7,6,6,6,6,5,5,4,7,6
l36,6,6,5,6,5,6,5,6,5,5,5,6,6,5,7,5,5,7,5,6,5,5,5,6,6,6,6,5,5,6,6,6,7,5
l37,6,6,6,5,7,6,5,6,5,5,5,5,7,5,5,6,7,6,7,7,5,5,5,6,6,7,7,6,5,6,6,6,7,5
l38,7,5,6,5,6,5,5,5,5,6,6,5,5,5,5,4,5,4,5,4,5,7,6,6,5,4,4,6,5,6,5,4,4,4
l39,6,7,5,6,7,4,6,6,6,5,6,6,5,6,5,6,4,5,5,6,6,7,6,6,5,5,7,6,5,6,6,7,5,5
l40,4,4,5,4,5,3,5,4,4,4,4,4,5,4,5,3,4,3,4,4,4,2,4,5,5,3,5,4,4,4,6,5,6,5
l41,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,6,6,5,4,5,5,4,5,4,6,6,5,4,4,5,5,7,5
l42,7,6,6,6,5,6,7,6,6,7,6,6,6,6,5,6,7,7,5,6,6,5,7,6,5,7,7,7,5,7,5,6,5,6
l43,6,5,7,7,6,6,6,6,4,7,6,6,6,4,5,7,6,6,6,6,4,6,5,6,5,6,5,7,5,7,7,6,7,6
l44,6,5,6,5,6,5,6,5,5,5,6,7,4,6,5,5,5,5,6,5,6,6,6,6,6,5,5,6,5,6,6,6,7,7
l45,7,6,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,5,7,7,6,6,6,6,5
l46,6,6,5,5,5,6,5,6,6,6,6,4,5,6,5,6,6,5,6,5,6,5,5,7,5,5,5,7,7,7,6,6,4,6
