"id","soort","sekse","snavellengte","snaveldiepte","vinlengte","gewicht","stikstof","koolstof"
35,"Adelie","male",39.2,21.1,196,4150,9.15308,-25.03469
36,"Adelie","male",38.8,20,190,3950,9.18985,-25.12255
37,"Adelie","female",42.2,18.5,180,3550,8.04787,-25.49523
38,"Adelie","female",37.6,19.3,181,3300,9.41131,-25.04169
39,"Adelie","male",39.8,19.1,184,4650,NA,NA
40,"Adelie","female",36.5,18,182,3150,9.68933,-24.4228
41,"Adelie","male",40.8,18.4,195,3900,NA,NA
42,"Adelie","female",36,18.5,186,3100,9.50772,-25.03492
43,"Adelie","male",44.1,19.7,196,4400,9.2372,-24.52698
44,"Adelie","female",37,16.9,185,3000,9.36392,-25.01745
45,"Adelie","male",39.6,18.8,190,4600,9.49106,-24.10255
46,"Adelie","male",41.1,19,182,3425,NA,NA
47,"Adelie",NA,37.5,18.9,179,2975,NA,NA
48,"Adelie","female",36,17.9,190,3450,9.51784,-25.07683
49,"Adelie","male",42.3,21.2,191,4150,8.87988,-25.18543
50,"Adelie","female",39.6,17.7,186,3500,8.46616,-26.12989
51,"Adelie","male",40.1,18.9,188,4300,8.51362,-26.55602
52,"Adelie","female",35,17.9,190,3450,8.19539,-26.17213
53,"Adelie","male",42,19.5,200,4050,8.48095,-26.3146
54,"Adelie","female",34.5,18.1,187,2900,8.41837,-26.54718
55,"Adelie","male",41.4,18.6,191,3700,8.35396,-26.27853
56,"Adelie","female",39,17.5,186,3550,8.57199,-26.07188
57,"Adelie","male",40.6,18.8,193,3800,8.56674,-25.98843
58,"Adelie","female",36.5,16.6,181,2850,9.07878,-25.88156
59,"Adelie","male",37.6,19.1,194,3750,9.108,-25.89677
60,"Adelie","female",35.7,16.9,185,3150,8.96472,-26.40943
61,"Adelie","male",41.3,21.1,195,4400,8.74802,-26.37809
62,"Adelie","female",37.6,17,185,3600,8.58063,-26.21569
63,"Adelie","male",41.1,18.2,192,4050,8.62264,-26.60023
64,"Adelie","female",36.4,17.1,184,2850,8.62623,-26.1165
65,"Adelie","male",41.6,18,192,3950,8.85562,-26.09294
66,"Adelie","female",35.5,16.2,195,3350,8.56192,-25.95541
67,"Adelie","male",41.1,19.1,188,4100,8.71078,-25.81012
68,"Adelie","female",35.9,16.6,190,3050,8.47781,-26.07821
69,"Adelie","male",41.8,19.4,198,4450,8.86853,-26.06209
70,"Adelie","female",33.5,19,190,3600,7.88863,-26.63085
71,"Adelie","male",39.7,18.4,190,3900,9.29808,-25.23453
72,"Adelie","female",39.6,17.2,196,3550,8.33524,-26.55351
73,"Adelie","male",45.8,18.9,197,4150,8.18658,-26.45978
74,"Adelie","female",35.5,17.5,190,3700,8.70642,-26.15003
75,"Adelie","male",42.8,18.5,195,4250,8.2993,-26.38986
76,"Adelie","female",40.9,16.8,191,3700,8.47257,-26.02002
77,"Adelie","male",37.2,19.4,184,3900,8.3554,-26.44787
78,"Adelie","female",36.2,16.1,187,3550,7.82381,-26.51382
79,"Adelie","male",42.1,19.1,195,4000,9.05736,-25.81513
80,"Adelie","female",34.6,17.2,189,3200,7.69778,-26.5387
81,"Adelie","male",42.9,17.6,196,4700,8.63259,-26.23027
82,"Adelie","female",36.7,18.8,187,3800,7.88494,-26.24837
83,"Adelie","male",35.1,19.4,193,4200,8.90002,-26.46254
84,"Adelie","female",37.3,17.8,191,3350,8.32718,-26.38396
85,"Adelie","male",41.3,20.3,194,3550,9.14863,-26.09635
86,"Adelie","male",36.3,19.5,190,3800,8.57087,-26.22227
87,"Adelie","female",36.9,18.6,189,3500,8.59147,-26.08165
88,"Adelie","male",38.3,19.2,189,3950,9.07826,-26.12417
89,"Adelie","female",38.9,18.8,190,3600,8.36936,-26.11199
90,"Adelie","female",35.7,18,202,3550,8.46531,-26.05621
91,"Adelie","male",41.1,18.1,205,4300,8.77018,-25.83352
92,"Adelie","female",34,17.1,185,3400,8.01485,-26.69543
93,"Adelie","male",39.6,18.1,186,4450,8.49915,-26.42406
94,"Adelie","female",36.2,17.3,187,3300,8.90723,-26.30037
95,"Adelie","male",40.8,18.9,208,4300,8.48204,-26.57941
96,"Adelie","female",38.1,18.6,190,3700,8.10277,-26.50086
97,"Adelie","male",40.3,18.5,196,4350,8.39459,-26.01152
98,"Adelie","female",33.1,16.1,178,2900,9.04218,-26.15775
99,"Adelie","male",43.2,18.5,192,4100,8.97025,-26.03679
100,"Adelie","female",35,17.9,192,3725,8.84451,-26.28055
101,"Adelie","male",41,20,203,4725,9.01079,-26.38085
102,"Adelie","female",37.7,16,183,3075,9.2151,-26.2253
103,"Adelie","male",37.8,20,190,4250,9.51929,-25.69199
104,"Adelie","female",37.9,18.6,193,2925,9.02642,-25.86482
105,"Adelie","male",39.7,18.9,184,3550,8.85699,-25.80208
106,"Adelie","female",38.6,17.2,199,3750,8.77322,-26.48973
107,"Adelie","male",38.2,20,190,3900,9.59245,-25.70711
108,"Adelie","female",38.1,17,181,3175,9.79532,-25.27385
109,"Adelie","male",43.2,19,197,4775,9.31735,-25.45171
110,"Adelie","female",38.1,16.5,198,3825,8.43951,-26.57563
111,"Adelie","male",45.6,20.3,191,4600,8.65466,-26.32909
112,"Adelie","female",39.7,17.7,193,3200,9.02657,-26.06203
113,"Adelie","male",42.2,19.5,197,4275,8.80186,-26.41218
114,"Adelie","female",39.6,20.7,191,3900,8.80967,-26.78958
115,"Adelie","male",42.7,18.3,196,4075,8.91434,-26.42018
116,"Adelie","female",38.6,17,188,2900,9.18021,-25.77264
117,"Adelie","male",37.3,20.5,199,3775,9.49645,-26.36678
118,"Adelie","female",35.7,17,189,3350,8.96436,-23.90309
119,"Adelie","male",41.1,18.6,189,3325,9.32277,-26.09989
120,"Adelie","female",36.2,17.2,187,3150,9.04296,-26.19444
121,"Adelie","male",37.7,19.8,198,3500,9.11066,-26.42563
122,"Adelie","female",40.2,17,176,3450,9.30722,-25.61039
123,"Adelie","male",41.4,18.5,202,3875,9.59462,-25.42621
124,"Adelie","female",35.2,15.9,186,3050,8.81668,-25.95399
125,"Adelie","male",40.6,19,199,4000,9.22537,-25.60826
126,"Adelie","female",38.8,17.6,191,3275,8.88098,-25.89741
127,"Adelie","male",41.5,18.3,195,4300,8.52566,-26.0245
128,"Adelie","female",39,17.1,191,3050,9.19031,-25.73722
129,"Adelie","male",44.1,18,210,4000,9.10702,-26.01363
130,"Adelie","female",38.5,17.9,190,3325,8.9846,-25.57956
131,"Adelie","male",43.1,19.2,197,3500,8.86495,-26.1396
132,"Adelie","female",36.8,18.5,193,3500,8.98705,-25.57647
133,"Adelie","male",37.5,18.5,199,4475,8.56708,-26.49288
134,"Adelie","female",38.1,17.6,187,3425,8.717,-25.77951
135,"Adelie","male",41.1,17.5,190,3900,8.94365,-26.06943
136,"Adelie","female",35.6,17.5,191,3175,8.75984,-25.97696
137,"Adelie","male",40.2,20.1,200,3975,8.95998,-26.32601
138,"Adelie","female",37,16.5,185,3400,8.61651,-26.07021
139,"Adelie","male",39.7,17.9,193,4250,9.25769,-25.88798
140,"Adelie","female",40.2,17.1,193,3400,9.2881,-25.54976
141,"Adelie","male",40.6,17.2,187,3475,9.23408,-26.01549
142,"Adelie","female",32.1,15.5,188,3050,8.79787,-26.61075
143,"Adelie","male",40.7,17,190,3725,9.05674,-25.79529
144,"Adelie","female",37.3,16.8,192,3000,9.06829,-25.85203
145,"Adelie","male",39,18.7,185,3650,9.22033,-26.03442
146,"Adelie","male",39.2,18.6,190,4250,9.11006,-25.79549
147,"Adelie","female",36.6,18.4,184,3475,8.68744,-25.8306
148,"Adelie","female",36,17.8,195,3450,8.94332,-25.79189
149,"Adelie","male",37.8,18.1,193,3750,8.97533,-26.03495
150,"Adelie","female",36,17.1,187,3700,8.93465,-26.07081
151,"Adelie","male",41.5,18.5,201,4000,8.8964,-26.06967
152,"Gentoo","female",46.1,13.2,211,4500,7.993,-25.5139
153,"Gentoo","male",50,16.3,230,5700,8.14756,-25.39369
154,"Gentoo","female",48.7,14.1,210,4450,8.14705,-25.46172
155,"Gentoo","male",50,15.2,218,5700,8.2554,-25.40075
156,"Gentoo","male",47.6,14.5,215,5400,8.2345,-25.54456
157,"Gentoo","female",46.5,13.5,210,4550,7.9953,-25.32829
158,"Gentoo","female",45.4,14.6,211,4800,8.24515,-25.46782
159,"Gentoo","male",46.7,15.3,219,5200,8.22673,-25.4276
160,"Gentoo","female",43.3,13.4,209,4400,8.13643,-25.32176
161,"Gentoo","male",46.8,15.4,215,5150,8.1631,-25.38017
162,"Gentoo","female",40.9,13.7,214,4650,8.19579,-25.3933
163,"Gentoo","male",49,16.1,216,5550,8.10417,-25.50562
164,"Gentoo","female",45.5,13.7,214,4650,7.77672,-25.4168
165,"Gentoo","male",48.4,14.6,213,5850,7.8208,-25.48025
166,"Gentoo","female",45.8,14.6,210,4200,7.79958,-25.62618
167,"Gentoo","male",49.3,15.7,217,5850,8.07137,-25.52473
168,"Gentoo","female",42,13.5,210,4150,7.63884,-25.52627
169,"Gentoo","male",49.2,15.2,221,6300,8.27376,-25.00169
170,"Gentoo","female",46.2,14.5,209,4800,7.84057,-25.37899
171,"Gentoo","male",48.7,15.1,222,5350,7.96491,-25.39587
172,"Gentoo","male",50.2,14.3,218,5700,7.8962,-25.37746
173,"Gentoo","female",45.1,14.5,215,5000,7.6322,-25.46569
174,"Gentoo","female",46.5,14.5,213,4400,7.90436,-25.3947
175,"Gentoo","male",46.3,15.8,215,5050,7.90971,-25.38157
176,"Gentoo","female",42.9,13.1,215,5000,7.68528,-25.39181
177,"Gentoo","male",46.1,15.1,215,5100,7.83733,-25.42826
178,"Gentoo",NA,44.5,14.3,216,4100,7.96621,-25.69327
179,"Gentoo","male",47.8,15,215,5650,7.92358,-25.48383
180,"Gentoo","female",48.2,14.3,210,4600,7.6887,-25.50811
181,"Gentoo","male",50,15.3,220,5550,8.30515,-25.19017
182,"Gentoo","male",47.3,15.3,222,5250,NA,NA
183,"Gentoo","female",42.8,14.2,209,4700,7.63452,-25.46327
184,"Gentoo","female",45.1,14.5,207,5050,7.97408,-25.53768
185,"Gentoo","male",59.6,17,230,6050,7.76843,-25.6821
186,"Gentoo","female",49.1,14.8,220,5150,7.89744,-26.63405
187,"Gentoo","male",48.4,16.3,220,5400,8.03659,-26.86127
188,"Gentoo","female",42.6,13.7,213,4950,7.96935,-26.70968
189,"Gentoo","male",44.4,17.3,219,5250,8.13746,-26.79093
190,"Gentoo","female",44,13.6,208,4350,8.01979,-26.68311
191,"Gentoo","male",48.7,15.7,208,5350,8.14776,-26.84506
192,"Gentoo","female",42.7,13.7,208,3950,8.14567,-26.59467
193,"Gentoo","male",49.6,16,225,5700,8.38324,-26.84272
194,"Gentoo","female",45.3,13.7,210,4300,8.37615,-26.72791
195,"Gentoo","male",49.6,15,216,4750,8.26548,-26.7699
196,"Gentoo","male",50.5,15.9,222,5550,8.46894,-26.60436
197,"Gentoo","female",43.6,13.9,217,4900,8.27141,-26.7765
198,"Gentoo","female",45.5,13.9,210,4200,8.47829,-26.61788
199,"Gentoo","male",50.5,15.9,225,5400,8.65803,-26.57585
200,"Gentoo","female",44.9,13.3,213,5100,8.45167,-26.89644
201,"Gentoo","male",45.2,15.8,215,5300,8.55868,-26.67799
202,"Gentoo","female",46.6,14.2,210,4850,8.38289,-26.86352
203,"Gentoo","male",48.5,14.1,220,5300,8.39867,-26.79358
204,"Gentoo","female",45.1,14.4,210,4400,8.51951,-27.01854
205,"Gentoo","male",50.1,15,225,5000,8.50153,-26.61414
206,"Gentoo","female",46.5,14.4,217,4900,8.48789,-26.83006
207,"Gentoo","male",45,15.4,220,5050,8.63488,-26.75621
208,"Gentoo","female",43.8,13.9,208,4300,8.58319,-26.84415
209,"Gentoo","male",45.5,15,220,5000,8.63604,-26.7489
210,"Gentoo","female",43.2,14.5,208,4450,8.48367,-26.86485
211,"Gentoo","male",50.4,15.3,224,5550,8.74647,-26.79846
212,"Gentoo","female",45.3,13.8,208,4200,8.65015,-26.79053
213,"Gentoo","male",46.2,14.9,221,5300,8.60092,-26.84374
214,"Gentoo","female",45.7,13.9,214,4400,8.6287,-26.60484
215,"Gentoo","male",54.3,15.7,231,5650,8.49662,-26.84166
216,"Gentoo","female",45.8,14.2,219,4700,8.60447,-26.61601
217,"Gentoo","male",49.8,16.8,230,5700,8.47067,-26.69166
218,"Gentoo",NA,46.2,14.4,214,4650,8.24253,-26.8154
219,"Gentoo","male",49.5,16.2,229,5800,8.49854,-26.74809
220,"Gentoo","female",43.5,14.2,220,4700,8.64931,-26.68867
221,"Gentoo","male",50.7,15,223,5550,8.63551,-26.74249
222,"Gentoo","female",47.7,15,216,4750,8.53018,-26.72751
223,"Gentoo","male",46.4,15.6,221,5000,8.35078,-26.70783
224,"Gentoo","male",48.2,15.6,221,5100,8.24651,-26.66958
225,"Gentoo","female",46.5,14.8,217,5200,8.58487,-26.5929
226,"Gentoo","female",46.4,15,216,4700,8.47938,-26.9547
227,"Gentoo","male",48.6,16,230,5800,8.5964,-26.71199
228,"Gentoo","female",47.5,14.2,209,4600,8.39299,-26.78733
229,"Gentoo","male",51.1,16.3,220,6000,8.40327,-26.76821
230,"Gentoo","female",45.2,13.8,215,4750,8.24694,-26.65359
231,"Gentoo","male",45.2,16.4,223,5950,8.19749,-26.65931
232,"Gentoo","female",49.1,14.5,212,4625,8.35802,-26.2766
233,"Gentoo","male",52.5,15.6,221,5450,8.28601,-26.27573
234,"Gentoo","female",47.4,14.6,212,4725,8.19101,-26.24369
235,"Gentoo","male",50,15.9,224,5350,8.20042,-26.39677
236,"Gentoo","female",44.9,13.8,212,4750,8.11238,-26.20372
237,"Gentoo","male",50.8,17.3,228,5600,8.27428,-26.30019
238,"Gentoo","female",43.4,14.4,218,4600,8.23468,-26.18599
239,"Gentoo","male",51.3,14.2,218,5300,8.15426,-26.3433
240,"Gentoo","female",47.5,14,212,4875,8.12691,-26.23613
241,"Gentoo","male",52.1,17,230,5550,8.27595,-26.11657
242,"Gentoo","female",47.5,15,218,4950,8.29671,-26.08547
243,"Gentoo","male",52.2,17.1,228,5400,8.36701,-25.89834
244,"Gentoo","female",45.5,14.5,212,4750,8.15566,-26.22848
245,"Gentoo","male",49.5,16.1,224,5650,8.83352,-25.69195
246,"Gentoo","female",44.5,14.7,214,4850,8.20106,-26.16524
247,"Gentoo","male",50.8,15.7,226,5200,8.27102,-26.11244
248,"Gentoo","male",49.4,15.8,216,4925,8.03624,-26.06594
249,"Gentoo","female",46.9,14.6,222,4875,7.8881,-26.04726
250,"Gentoo","female",48.4,14.4,203,4625,8.16582,-26.13971
251,"Gentoo","male",51.1,16.5,225,5250,8.2066,-26.36863
252,"Gentoo","female",48.5,15,219,4850,8.10231,-26.18763
253,"Gentoo","male",55.9,17,228,5600,8.3118,-26.35425
254,"Gentoo","female",47.2,15.5,215,4975,8.30817,-26.21651
255,"Gentoo","male",49.1,15,228,5500,8.65914,-25.79203
256,"Gentoo",NA,47.3,13.8,216,4725,8.25818,-26.23886
257,"Gentoo","male",46.8,16.1,215,5500,8.32359,-26.05756
258,"Gentoo","female",41.7,14.7,210,4700,8.12311,-26.44815
259,"Gentoo","male",53.4,15.8,219,5500,8.41017,-26.33867
260,"Gentoo","female",43.3,14,208,4575,8.4207,-26.38092
261,"Gentoo","male",48.1,15.1,209,5500,8.45738,-26.22664
262,"Gentoo","female",50.5,15.2,216,5000,8.24691,-26.18466
263,"Gentoo","male",49.8,15.9,229,5950,8.29226,-26.21019
264,"Gentoo","female",43.5,15.2,213,4650,8.21634,-26.11046
265,"Gentoo","male",51.5,16.3,230,5500,8.78557,-25.76147
266,"Gentoo","female",46.2,14.1,217,4375,8.30231,-25.96013
267,"Gentoo","male",55.1,16,230,5850,8.08354,-26.18161
268,"Gentoo",NA,44.5,15.7,217,4875,8.04111,-26.18444
269,"Gentoo","male",48.8,16.2,222,6000,8.33825,-25.88547
270,"Gentoo","female",47.2,13.7,214,4925,7.99184,-26.20538
271,"Gentoo","female",46.8,14.3,215,4850,8.41151,-26.13832
272,"Gentoo","male",50.4,15.7,222,5750,8.30166,-26.04117
273,"Gentoo","female",45.2,14.8,212,5200,8.24246,-26.11969
274,"Gentoo","male",49.9,16.1,213,5400,8.3639,-26.15531
275,"Chinstrap","female",46.5,17.9,192,3500,9.03935,-24.30229
276,"Chinstrap","male",50,19.5,196,3900,8.92069,-24.23592
277,"Chinstrap","male",51.3,19.2,193,3650,9.29078,-24.7557
278,"Chinstrap","female",45.4,18.7,188,3525,8.64701,-24.62717
279,"Chinstrap","male",52.7,19.8,197,3725,9.00642,-24.61867
280,"Chinstrap","female",45.2,17.8,198,3950,8.88942,-24.49433
281,"Chinstrap","female",46.1,18.2,178,3250,8.85664,-24.55644
282,"Chinstrap","male",51.3,18.2,197,3750,8.63701,-24.84059
283,"Chinstrap","female",46,18.9,195,4150,8.47173,-24.29229
284,"Chinstrap","male",51.3,19.9,198,3700,8.79581,-24.36088
285,"Chinstrap","female",46.6,17.8,193,3800,8.95063,-24.59897
286,"Chinstrap","male",51.7,20.3,194,3775,8.68747,-24.38751
287,"Chinstrap","female",47,17.3,185,3700,8.72037,-24.80526
288,"Chinstrap","male",52,18.1,201,4050,9.0233,-24.38933
289,"Chinstrap","female",45.9,17.1,190,3575,9.12277,-24.90024
290,"Chinstrap","male",50.5,19.6,201,4050,9.8059,-24.7294
291,"Chinstrap","male",50.3,20,197,3300,10.02019,-24.54704
292,"Chinstrap","female",58,17.8,181,3700,9.14382,-24.57994
293,"Chinstrap","female",46.4,18.6,190,3450,9.32105,-24.64162
294,"Chinstrap","male",49.2,18.2,195,4400,9.27158,-24.64335
295,"Chinstrap","female",42.4,17.3,181,3600,9.35138,-24.6879
296,"Chinstrap","male",48.5,17.5,191,3400,9.42666,-24.26375
297,"Chinstrap","female",43.2,16.6,187,2900,9.35416,-25.01185
298,"Chinstrap","male",50.6,19.4,193,3800,9.28153,-24.97134
299,"Chinstrap","female",46.7,17.9,195,3300,9.74144,-24.59467
300,"Chinstrap","male",52,19,197,4150,9.36799,-24.47142
301,"Chinstrap","female",50.5,18.4,200,3400,8.9399,-23.89017
302,"Chinstrap","male",49.5,19,200,3800,9.63074,-24.34684
303,"Chinstrap","female",46.4,17.8,191,3700,9.37369,-24.52896
304,"Chinstrap","male",52.8,20,205,4550,9.25177,-24.69638
305,"Chinstrap","female",40.9,16.6,187,3200,9.08458,-24.54903
306,"Chinstrap","male",54.2,20.8,201,4300,9.49283,-24.59996
307,"Chinstrap","female",42.5,16.7,187,3350,9.36668,-24.45195
308,"Chinstrap","male",51,18.8,203,4100,9.23196,-24.17282
309,"Chinstrap","male",49.7,18.6,195,3600,9.75486,-24.31198
310,"Chinstrap","female",47.5,16.8,199,3900,9.07825,-25.1455
311,"Chinstrap","female",47.6,18.3,195,3850,8.83502,-24.65859
312,"Chinstrap","male",52,20.7,210,4800,9.43146,-24.6844
313,"Chinstrap","female",46.9,16.6,192,2700,9.80589,-24.73735
314,"Chinstrap","male",53.5,19.9,205,4500,10.02544,-24.90816
315,"Chinstrap","male",49,19.5,210,3950,9.53262,-24.66867
316,"Chinstrap","female",46.2,17.5,187,3650,9.61734,-24.66188
317,"Chinstrap","male",50.9,19.1,196,3550,10.02372,-24.86594
318,"Chinstrap","female",45.5,17,196,3500,9.36493,-24.66259
319,"Chinstrap","female",50.9,17.9,196,3675,9.43684,-24.16566
320,"Chinstrap","male",50.8,18.5,201,4450,9.45827,-24.35575
321,"Chinstrap","female",50.1,17.9,190,3400,9.46819,-24.45721
322,"Chinstrap","male",49,19.6,212,4300,9.34089,-24.45189
323,"Chinstrap","male",51.5,18.7,187,3250,9.6895,-24.43062
324,"Chinstrap","female",49.8,17.3,198,3675,9.32169,-24.41562
325,"Chinstrap","female",48.1,16.4,199,3325,9.46929,-24.48403
326,"Chinstrap","male",51.4,19,201,3950,9.43782,-24.36202
327,"Chinstrap","female",45.7,17.3,193,3600,9.415,-24.805
328,"Chinstrap","male",50.7,19.7,203,4050,9.93727,-24.59066
329,"Chinstrap","female",42.5,17.3,187,3350,9.56534,-24.60882
330,"Chinstrap","male",52.2,18.8,197,3450,9.77528,-24.56481
331,"Chinstrap","female",45.2,16.6,191,3250,9.62357,-24.78984
332,"Chinstrap","male",49.3,19.9,203,4050,9.88809,-24.59513
333,"Chinstrap","male",50.2,18.8,202,3800,9.74492,-24.404
334,"Chinstrap","female",45.6,19.4,194,3525,9.46985,-24.65786
335,"Chinstrap","male",51.9,19.5,206,3950,NA,-23.78767
336,"Chinstrap","female",46.8,16.5,189,3650,9.65061,-24.48153
337,"Chinstrap","female",45.7,17,195,3650,9.26715,-24.31912
338,"Chinstrap","male",55.8,19.8,207,4000,9.70465,-24.53494
339,"Chinstrap","female",43.5,18.1,202,3400,9.37608,-24.40753
340,"Chinstrap","male",49.6,18.2,193,3775,9.4618,-24.70615
341,"Chinstrap","male",50.8,19,210,4100,9.98044,-24.68741
342,"Chinstrap","female",50.2,18.7,198,3775,9.39305,-24.25255
