"id","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
82,2,2,4,2,4,3,4,3,4,4
83,3,3,2,2,2,4,5,5,4,4
84,1,3,2,2,2,5,1,4,5,2
85,2,3,2,2,2,4,2,3,4,2
86,3,3,4,4,3,4,2,4,4,3
87,1,1,1,4,1,6,1,5,5,2
88,3,3,4,3,4,6,1,5,6,2
89,2,3,6,4,6,3,2,2,2,5
90,2,5,4,6,1,6,2,5,6,1
91,4,5,2,3,6,3,4,3,5,6
92,3,4,6,6,6,5,2,3,5,4
93,3,5,4,4,4,5,1,3,6,1
94,1,2,1,1,1,5,1,5,6,1
95,4,5,6,6,6,5,1,2,6,4
96,1,1,1,2,2,2,1,5,3,3
97,4,4,2,2,4,4,2,5,4,2
98,4,5,5,5,4,6,2,5,6,1
99,2,1,3,3,1,4,3,4,5,6
100,4,3,6,6,5,2,3,3,6,3
101,4,5,4,3,4,5,4,4,6,2
102,6,6,3,2,5,6,1,6,5,2
103,5,6,2,4,6,6,5,6,6,2
104,6,6,6,4,6,5,4,4,6,4
105,2,3,2,3,4,4,1,5,6,1
106,1,2,1,4,2,3,6,1,3,3
107,1,1,1,2,2,4,2,4,6,2
108,1,5,5,5,6,6,1,6,6,2
109,2,2,2,2,2,6,1,5,4,1
110,2,4,2,4,2,2,6,3,5,5
111,1,2,2,4,1,4,1,6,5,1
112,4,4,2,2,2,5,1,5,5,2
113,4,4,3,2,3,6,1,5,5,2
114,1,2,2,2,4,6,1,6,6,1
115,4,3,1,3,4,6,3,6,5,3
116,3,4,2,5,6,2,4,4,6,4
117,5,4,4,3,1,6,2,6,5,1
118,4,4,3,3,1,5,3,6,4,2
119,1,2,2,4,2,5,2,5,6,1
120,2,3,2,5,5,5,1,6,6,1
121,4,4,2,2,2,4,3,5,4,2
122,2,3,3,4,2,5,2,6,6,2
123,2,4,4,4,2,5,2,4,6,2
124,4,5,5,4,5,4,4,3,6,3
125,4,5,3,5,4,4,2,4,6,3
126,5,5,5,5,5,6,3,4,5,2
127,3,3,3,4,4,5,1,5,6,6
128,4,6,4,4,5,3,5,3,5,3
129,6,6,4,5,6,5,6,6,6,2
130,5,5,2,5,2,4,4,6,6,1
131,4,6,2,1,2,6,1,6,5,3
132,4,4,5,4,5,5,2,5,6,4
133,4,4,4,3,3,6,3,4,5,2
134,5,4,3,6,4,2,2,1,5,3
135,6,6,4,4,6,4,4,3,4,5
136,3,5,4,4,5,4,2,5,4,3
137,2,2,2,2,1,4,4,4,5,3
138,2,5,2,1,2,6,2,5,5,2
139,1,1,1,4,3,6,1,4,6,1
140,3,6,4,4,6,5,1,4,6,1
141,3,3,3,4,3,4,4,5,5,2
142,1,1,1,1,1,6,2,5,2,1
143,5,2,4,4,2,5,2,5,5,1
144,5,5,5,3,2,5,2,5,6,2
145,1,1,1,2,4,6,1,6,6,1
146,3,4,2,1,1,6,5,4,6,2
147,3,4,2,2,1,4,1,6,4,2
148,1,3,2,1,3,6,2,4,6,5
149,3,3,5,4,3,5,2,6,5,3
150,2,2,2,2,3,5,4,5,5,2
151,2,4,5,4,5,5,4,5,5,1
152,1,2,1,4,4,5,1,6,6,1
153,6,6,2,3,4,5,5,4,5,5
154,2,4,2,3,5,4,2,4,6,2
155,4,3,2,4,2,5,5,4,4,2
156,1,2,4,1,1,5,6,2,2,6
157,2,2,4,3,4,5,6,5,6,4
158,1,2,1,2,1,6,1,5,5,6
159,1,1,2,2,1,5,1,5,5,2
160,4,4,2,4,1,6,4,5,5,2
161,4,5,5,4,2,5,1,5,6,1
162,6,6,6,5,6,5,1,2,5,1
163,5,4,2,2,4,5,4,4,4,5
164,4,2,4,5,4,4,2,5,3,3
165,3,3,3,3,4,6,2,5,4,5
166,3,3,2,2,2,5,6,6,5,1
167,1,2,2,2,3,5,1,6,6,3
168,4,6,6,4,5,3,4,3,6,4
169,1,2,2,2,3,6,1,5,6,1
170,4,5,4,4,4,6,1,3,6,3
171,5,5,3,2,3,5,4,4,4,4
172,2,3,1,1,1,6,3,6,5,1
173,5,5,5,4,4,6,1,6,6,1
174,2,3,2,1,1,5,5,3,5,3
175,2,3,2,3,2,5,4,4,3,4
176,5,4,4,5,4,5,2,5,6,2
177,4,4,5,4,4,6,1,6,6,1
178,6,6,6,2,6,3,6,1,1,6
179,1,2,1,1,2,6,4,6,6,1
180,1,3,1,1,1,6,1,6,6,2
181,5,5,5,6,3,2,2,3,5,2
182,6,6,4,2,4,6,1,5,5,1
183,2,3,2,3,2,6,2,4,5,2
184,4,5,5,2,6,5,2,6,6,1
185,2,2,4,4,3,4,3,4,5,3
186,1,1,1,4,5,5,4,4,4,5
187,4,4,4,3,4,4,2,3,5,2
188,6,4,6,6,3,3,1,3,3,4
189,5,4,1,2,2,4,4,5,4,2
190,2,4,3,2,3,3,1,3,5,3
191,1,1,2,1,1,6,3,4,5,3
192,1,2,2,2,4,5,1,5,5,1
193,1,3,1,2,5,4,3,4,5,5
194,3,5,5,5,4,2,5,4,6,1
195,3,5,3,3,4,4,4,3,2,3
196,1,2,1,1,1,5,3,4,3,2
197,1,2,4,2,1,6,2,4,5,3
198,1,2,1,5,4,5,2,1,5,1
199,4,4,4,3,2,3,2,3,4,3
200,1,1,1,1,1,6,1,4,6,1
201,3,4,4,2,3,4,3,5,4,3
202,1,5,1,2,1,4,1,2,5,1
203,2,2,2,1,2,5,1,5,6,1
204,2,2,2,2,1,5,3,4,5,4
205,6,6,6,6,3,3,4,2,4,4
206,2,2,1,1,2,6,1,6,6,1
207,4,5,1,2,3,5,1,5,6,2
208,3,4,3,2,2,6,6,5,5,1
209,5,6,6,1,1,4,3,5,2,3
210,1,1,4,3,4,6,4,4,5,2
211,1,4,4,4,2,6,2,6,5,2
212,1,1,1,6,1,6,6,6,1,1
213,1,1,1,1,2,5,2,5,5,5
214,2,2,2,2,4,5,1,5,5,3
215,3,5,2,2,3,5,1,5,6,1
216,2,5,5,4,4,5,5,5,6,1
217,3,4,3,3,3,3,2,4,4,3
218,2,2,2,2,1,5,3,4,5,2
219,2,3,2,2,1,6,1,5,6,2
220,2,2,1,3,2,5,6,4,6,3
221,2,3,2,2,4,6,4,4,6,3
222,2,4,2,3,1,6,2,6,3,2
223,1,3,3,2,4,5,2,5,5,2
224,2,2,1,2,3,5,2,4,6,1
225,5,5,4,4,4,3,5,4,3,4
226,2,3,3,4,3,4,3,5,6,2
227,1,2,4,4,4,4,3,5,5,3
228,1,3,2,2,1,6,2,3,5,2
229,3,5,3,3,1,4,1,4,4,3
230,4,4,3,2,2,6,1,5,6,2
231,2,3,2,1,1,5,4,4,4,1
232,1,2,2,1,1,4,2,5,5,3
233,4,4,3,3,2,6,1,4,6,1
234,4,5,2,2,2,5,4,4,5,5
235,3,6,4,5,3,5,6,2,6,4
236,2,2,2,3,2,2,3,2,4,5
237,3,4,2,2,1,5,1,3,5,3
238,1,1,2,3,2,5,4,4,5,3
239,2,4,2,6,2,5,2,4,4,2
240,1,1,1,1,1,5,1,6,1,1
241,1,1,1,2,2,3,2,4,2,1
242,1,1,2,5,1,6,5,4,4,4
243,3,3,3,2,2,5,4,4,4,3
244,1,4,1,3,2,4,5,4,6,2
245,2,2,3,5,4,5,3,5,6,2
246,3,5,5,2,4,6,6,4,6,1
247,2,4,2,3,3,5,4,4,4,4
248,5,4,4,5,4,6,6,6,6,4
249,4,5,3,6,1,6,1,6,6,1
250,6,3,2,2,5,1,2,6,6,6
251,5,4,2,2,1,6,1,5,6,2
252,1,2,1,1,1,4,3,4,2,5
253,1,2,2,1,2,4,5,3,4,3
254,5,5,2,4,4,4,4,4,2,2
255,1,2,2,2,2,2,2,5,4,2
256,3,4,2,2,6,4,2,5,5,3
257,2,2,5,5,3,6,2,3,6,6
258,6,6,5,4,5,6,6,3,4,2
259,1,1,1,3,3,6,1,6,5,3
260,5,1,5,5,2,6,5,5,5,2
261,4,5,6,4,4,6,3,5,4,1
262,5,4,1,2,3,4,5,5,6,4
263,2,2,2,2,1,5,1,6,4,2
264,4,4,4,5,4,4,2,2,5,4
265,4,5,4,4,5,5,1,6,6,1
266,4,5,6,4,4,2,4,3,6,3
267,5,5,3,3,3,4,3,5,5,3
268,4,3,2,2,3,5,1,5,4,2
269,1,3,3,5,1,4,6,3,4,4
270,4,4,5,3,5,4,4,4,4,2
271,6,6,6,4,5,3,4,5,4,4
272,3,4,4,3,4,5,3,4,4,2
273,6,6,6,6,4,4,2,6,6,2
274,4,4,3,3,2,5,2,5,5,4
275,1,2,4,2,2,6,1,6,6,1
276,5,6,3,2,4,3,5,3,3,1
277,3,4,4,4,2,1,4,3,5,4
278,1,1,1,1,1,5,1,5,2,2
279,3,4,2,4,4,3,5,3,3,4
280,4,4,4,3,5,6,2,5,4,3
281,4,6,6,5,6,6,2,6,5,1
282,4,5,1,2,3,6,6,5,6,2
283,4,4,1,2,2,5,3,4,5,5
284,4,5,2,3,1,4,2,5,5,3
285,2,3,3,2,1,5,3,1,3,4
286,4,4,3,3,3,4,3,4,4,3
287,2,4,5,4,4,6,1,6,6,1
288,1,2,1,1,2,4,2,5,6,2
289,2,2,2,4,2,4,5,3,4,3
290,2,3,5,4,3,4,3,5,6,5
291,3,4,4,4,4,5,1,5,4,1
292,2,4,5,5,4,5,1,5,6,3
293,5,4,5,4,2,6,5,3,6,5
294,2,2,2,2,4,5,6,6,6,4
295,2,4,4,2,6,2,1,4,6,4
296,1,1,1,2,1,5,2,4,5,2
297,1,4,4,1,1,5,4,6,4,4
298,6,6,6,5,1,6,1,6,3,1
299,5,5,6,5,5,5,2,4,6,1
300,1,1,3,6,4,6,2,2,4,1
301,5,6,6,6,6,5,1,3,6,2
302,2,2,4,2,2,4,2,5,6,1
303,2,3,3,1,1,5,2,3,2,1
304,5,5,5,5,1,6,1,6,6,1
305,2,2,2,1,2,4,1,5,5,4
306,5,5,5,6,5,5,1,5,6,1
307,4,4,4,4,4,3,3,3,3,3
308,4,5,4,4,2,5,2,3,4,3
309,2,4,2,4,1,5,1,6,6,1
310,6,6,6,6,5,6,5,6,6,1
311,3,2,4,4,2,6,2,6,6,2
312,4,4,5,6,4,6,1,6,6,1
313,6,6,5,5,5,4,1,5,5,4
314,1,3,3,4,2,6,1,6,5,1
315,6,6,5,5,3,5,5,6,6,4
316,1,6,1,1,1,6,1,3,6,1
317,2,4,5,6,4,4,5,4,5,4
318,4,4,5,5,2,4,3,4,5,3
319,4,5,4,2,2,4,5,3,5,4
320,4,4,4,3,4,3,2,2,2,4
321,2,2,4,2,2,4,5,6,5,1
322,2,4,3,3,1,6,1,6,4,2
323,5,5,4,4,3,6,4,6,6,2
324,3,4,4,5,5,4,2,4,5,2
325,6,6,6,5,4,3,6,3,5,4
326,4,4,1,5,3,5,2,4,6,1
327,3,5,4,4,4,4,4,5,5,4
328,4,6,4,2,5,6,3,4,6,2
329,3,4,4,4,4,4,3,4,5,3
330,4,4,5,2,1,5,1,6,5,1
331,5,6,2,1,4,4,5,4,3,3
332,1,2,4,4,1,6,5,6,6,4
333,3,5,4,4,4,5,5,4,5,3
334,2,2,4,3,2,4,3,3,5,4
335,5,5,2,3,3,4,2,5,6,1
336,1,3,4,4,6,5,2,5,5,3
337,1,6,4,2,1,5,1,5,1,2
338,5,5,4,4,6,4,4,5,5,2
339,2,4,6,6,5,6,1,6,6,1
340,1,2,2,3,3,6,1,5,6,1
341,2,4,4,2,5,5,1,4,5,2
342,5,6,2,2,5,4,2,4,5,3
343,4,4,3,2,1,6,1,5,6,1
344,3,3,4,3,2,5,2,4,4,3
345,4,4,6,4,1,6,2,6,6,2
346,4,5,5,5,2,5,6,5,6,2
347,6,6,6,6,6,6,5,5,6,2
348,2,2,3,4,5,4,2,4,5,2
349,4,4,4,3,2,6,1,5,5,2
350,1,1,1,1,1,6,1,6,6,1
351,4,4,4,4,2,6,1,5,4,1
352,3,4,2,3,2,5,4,4,5,1
353,1,1,1,1,1,6,1,6,6,1
354,2,2,2,2,4,5,1,5,5,1
355,3,4,4,2,5,3,3,5,6,5
356,1,1,2,2,2,5,2,3,5,3
357,1,1,1,1,1,5,1,5,1,6
358,1,6,6,3,4,6,1,6,5,1
359,2,4,5,4,5,4,1,4,5,3
360,3,5,5,1,4,4,2,4,6,2
361,1,2,3,4,2,3,1,2,4,5
362,3,3,2,4,3,6,4,5,6,4
363,2,3,2,2,4,5,1,4,5,2
364,1,1,1,1,3,5,4,4,4,2
365,4,4,4,6,4,6,1,6,6,3
366,3,4,2,1,1,3,4,1,4,2
367,4,5,4,4,2,6,2,5,6,2
368,5,5,5,4,2,6,2,6,5,1
369,4,2,1,2,3,6,5,3,6,5
370,2,4,4,3,1,6,1,6,6,2
371,3,3,1,1,2,5,1,4,4,2
372,3,3,2,2,2,5,2,3,4,5
373,3,3,3,1,3,4,4,3,4,3
374,5,5,4,4,5,2,4,4,5,3
375,4,5,5,3,5,2,2,6,5,2
376,2,3,2,3,1,5,3,4,4,4
377,3,5,4,4,2,6,1,4,6,3
378,4,4,2,1,2,5,1,5,5,1
379,4,5,3,4,5,6,1,6,5,1
380,5,4,5,5,3,6,1,6,6,3
381,4,4,2,1,1,5,1,6,5,2
382,5,5,4,5,5,5,2,5,6,1
383,4,4,4,2,1,5,3,2,3,4
384,3,3,2,3,2,5,5,2,2,5
385,1,1,1,1,1,6,1,4,5,2
386,4,4,6,5,4,3,6,1,5,4
387,4,6,6,6,6,6,1,4,6,1
388,2,5,1,5,5,6,1,5,6,1
389,5,5,2,2,2,6,1,6,4,1
390,4,4,5,1,5,6,3,4,4,5
391,4,1,2,6,6,6,5,2,6,5
392,4,5,5,5,4,5,2,3,5,4
393,2,4,3,2,2,5,3,5,4,3
394,1,3,1,2,1,6,1,5,6,1
395,5,6,6,6,6,6,6,6,6,1
396,1,5,5,5,6,6,5,3,6,1
397,4,3,2,4,1,6,1,3,2,1
398,1,1,2,2,1,6,1,6,5,1
399,1,2,2,1,2,5,1,6,5,3
400,5,5,5,5,5,4,1,6,5,5
401,3,4,4,4,4,5,3,5,5,2
402,2,5,3,5,2,5,2,5,6,1
403,1,4,2,5,2,5,2,5,6,1
404,1,4,3,4,2,5,2,5,6,1
405,1,5,4,4,2,5,2,5,6,1
406,1,5,4,4,2,5,2,5,6,1
407,1,5,4,4,2,5,2,5,6,1
408,1,5,4,4,2,5,3,5,6,2
409,2,2,2,2,1,6,5,2,3,4
410,6,6,6,3,2,6,1,6,6,1
411,1,1,1,5,1,6,1,6,6,1
412,6,6,4,6,5,5,6,4,6,1
413,4,4,1,1,1,6,1,4,6,1
414,6,6,6,5,6,3,6,4,5,2
415,4,4,5,3,2,4,5,5,4,2
416,1,1,2,5,1,6,4,6,6,2
417,1,1,1,5,1,5,6,2,5,2
418,2,3,2,2,1,4,2,5,5,3
419,6,6,6,6,6,6,3,1,6,1
420,1,1,1,1,1,6,5,6,6,4
421,3,3,3,1,2,6,1,6,5,1
422,5,4,4,5,5,5,5,4,4,3
423,4,4,3,2,1,6,1,5,5,1
424,2,3,2,5,4,6,1,5,2,1
425,4,5,4,1,5,5,6,5,5,2
426,2,2,1,1,2,5,2,4,3,4
427,1,4,5,1,1,6,1,6,6,1
428,5,5,5,2,2,6,1,6,6,1
429,2,3,1,2,5,6,2,6,6,1
430,6,6,4,4,3,6,3,5,4,3
431,1,1,2,4,2,3,4,5,5,3
432,5,5,5,6,4,5,6,4,6,2
433,1,2,1,2,2,6,2,5,6,2
434,5,6,4,5,5,6,1,5,6,1
435,1,3,5,2,4,4,2,4,5,2
436,1,1,1,1,2,4,1,4,5,2
437,2,3,4,1,2,6,6,5,4,2
438,4,5,5,5,4,6,2,5,6,1
439,4,5,5,6,1,6,5,1,6,4
440,2,4,2,3,5,6,4,6,6,1
441,5,6,6,2,2,5,2,5,6,3
442,1,1,1,1,1,5,1,5,3,4
443,3,4,4,3,5,3,3,4,5,4
444,4,4,4,5,1,3,2,2,4,4
445,2,3,3,3,3,4,2,3,3,3
446,4,5,4,3,3,2,4,2,6,2
447,1,1,4,3,1,6,6,6,6,3
448,4,4,1,1,3,6,1,6,2,1
449,6,6,6,3,2,4,3,2,3,5
450,4,6,5,2,4,6,5,6,6,1
451,5,4,4,4,5,6,1,6,5,1
452,2,4,2,2,4,6,2,6,6,2
453,3,4,1,4,1,2,6,1,5,3
454,2,4,5,4,4,4,3,5,5,2
455,1,2,2,1,1,5,1,6,4,1
456,1,1,4,1,5,6,6,6,6,5
457,1,2,2,2,2,6,5,5,4,1
458,4,4,5,4,4,3,4,3,5,3
459,4,4,5,5,6,4,1,6,6,1
460,2,2,4,2,2,5,2,5,3,1
461,2,5,2,3,4,4,2,6,3,1
462,1,2,5,2,4,2,6,3,3,3
463,4,4,4,1,4,6,2,4,3,2
464,2,4,2,2,5,6,1,5,4,1
465,5,6,5,4,2,6,6,5,5,1
466,3,3,1,4,1,5,1,5,5,2
467,3,5,3,1,1,5,2,4,4,2
468,6,6,6,5,5,5,2,5,5,5
469,4,5,4,5,4,5,4,4,6,1
470,1,1,1,2,1,5,3,5,1,1
471,1,1,1,2,2,5,6,6,6,2
472,5,4,4,3,2,5,2,5,4,3
473,3,4,4,2,3,5,2,4,4,2
474,1,4,5,2,6,4,4,4,5,2
475,3,3,4,3,4,5,4,4,5,2
476,6,4,6,5,5,6,6,6,3,6
477,2,5,4,3,4,5,1,5,6,1
478,4,4,4,2,1,2,6,4,5,1
479,3,3,4,2,4,5,3,5,4,4
480,1,1,1,1,1,6,4,5,5,5
481,5,4,6,3,4,5,1,4,6,2
482,1,1,2,3,1,6,2,6,5,3
483,3,3,2,4,2,3,5,5,5,2
484,4,4,4,4,2,5,2,5,5,4
485,5,6,4,4,3,4,5,5,5,2
486,4,6,5,4,4,5,1,5,4,1
487,1,2,1,1,1,6,1,6,5,1
488,4,4,4,2,1,6,4,5,2,2
489,4,5,5,3,2,4,5,4,6,2
490,2,3,2,1,1,6,2,5,4,2
491,1,2,1,3,2,4,4,5,4,3
492,5,5,6,1,5,3,6,5,6,5
493,4,4,4,5,6,5,4,3,4,4
494,6,6,6,1,6,6,6,6,6,1
495,3,3,4,3,2,5,2,4,6,2
496,1,2,1,1,1,6,1,6,6,1
497,2,4,3,5,4,4,5,4,4,3
498,3,4,4,3,4,5,2,4,6,2
499,5,5,6,4,4,4,2,4,4,4
500,6,6,6,6,6,4,1,5,6,1
501,3,5,1,1,3,3,1,3,4,5
502,4,4,6,6,5,5,2,5,6,2
503,3,4,1,1,1,5,6,4,2,3
504,2,5,3,3,2,4,2,6,5,1
505,5,5,4,5,4,5,1,5,6,3
506,4,4,5,5,2,2,2,2,5,4
507,5,6,4,3,4,5,4,4,5,2
508,2,3,3,2,2,4,4,4,5,3
509,5,5,5,3,5,6,3,6,6,1
510,4,5,4,4,6,2,6,4,6,3
511,2,2,1,6,4,4,1,4,5,2
512,2,5,2,2,1,4,3,4,4,3
513,3,4,4,4,3,5,5,4,6,5
514,3,3,1,1,1,5,1,4,4,1
515,1,1,2,2,3,5,2,5,6,1
516,5,6,6,3,4,6,3,4,5,3
517,1,1,1,1,1,1,1,2,5,1
518,6,6,5,6,3,6,6,5,6,4
519,6,4,1,1,1,6,5,1,6,6
520,1,2,1,1,4,5,4,4,5,4
521,3,4,4,5,6,2,5,4,5,4
522,2,2,4,4,3,5,5,4,6,2
523,5,6,4,5,4,6,6,5,6,1
524,1,5,1,1,3,6,3,5,2,1
525,2,3,1,4,3,4,4,4,5,3
526,1,3,4,2,3,6,1,6,6,3
527,2,3,1,1,1,5,5,4,4,2
528,5,5,5,5,5,5,5,5,5,5
529,4,4,4,3,3,6,1,5,4,4
530,4,4,5,3,1,6,1,6,5,2
531,3,3,3,3,2,5,5,2,6,6
532,2,5,5,5,4,5,3,4,6,2
533,1,2,2,2,1,5,1,5,5,2
534,4,4,4,3,1,6,1,5,1,4
535,5,5,3,1,1,4,6,4,5,6
536,4,4,2,4,5,2,6,1,6,6
537,4,5,4,4,4,5,6,2,5,4
538,1,1,2,1,1,5,6,3,4,3
539,4,6,6,5,3,6,1,5,6,2
540,2,3,1,3,5,5,5,4,5,3
541,1,1,2,2,5,3,2,4,5,4
542,3,5,2,3,2,6,3,6,6,1
543,4,5,5,4,3,5,1,5,6,2
544,6,5,5,2,5,3,6,1,1,3
545,1,1,1,1,1,6,6,5,4,2
546,6,6,6,6,6,2,1,3,6,2
547,5,3,2,1,5,5,6,4,1,5
548,2,2,2,3,1,4,3,5,6,6
549,1,3,2,1,1,5,1,5,6,1
550,3,3,3,1,2,4,2,4,4,3
551,3,5,5,4,1,5,2,3,3,2
552,5,5,4,3,3,4,4,4,4,4
553,3,5,4,4,4,5,4,5,4,5
554,3,5,1,4,3,6,4,5,5,3
555,6,6,6,5,6,5,5,4,4,6
556,3,3,1,2,1,6,5,2,6,4
557,2,4,4,1,2,6,4,5,6,2
558,4,5,5,6,5,5,6,3,6,2
559,4,4,4,4,1,6,1,5,6,1
560,2,6,6,3,2,6,6,5,4,4
561,3,3,2,1,2,6,1,5,5,2
562,5,5,5,1,4,4,6,5,5,2
563,1,3,1,2,3,6,2,2,1,1
564,1,1,2,1,4,5,1,6,2,4
565,2,2,4,2,1,5,1,3,5,4
566,2,3,2,1,2,6,6,5,1,6
567,2,1,1,2,4,6,1,4,6,2
568,1,1,1,1,2,6,4,4,1,3
569,5,5,4,3,3,4,5,4,4,4
570,2,3,2,2,2,5,4,4,5,4
571,1,2,5,4,2,5,2,6,6,1
572,3,3,3,3,2,6,2,4,6,2
573,6,6,6,2,1,3,6,1,5,1
574,1,3,1,3,1,5,3,6,4,1
575,2,4,4,6,4,4,4,3,4,3
576,4,1,6,4,5,6,1,5,5,1
577,4,1,6,4,5,6,1,5,5,1
578,1,1,1,1,2,5,2,3,4,1
579,1,1,1,1,5,6,4,6,4,3
580,1,2,1,2,1,6,1,6,6,1
581,3,5,5,4,3,6,1,4,5,1
582,2,2,3,5,2,5,2,4,5,5
583,4,5,4,3,5,5,1,4,4,2
584,4,5,4,2,5,6,1,5,5,2
585,2,3,3,2,2,6,1,6,6,1
586,5,6,2,2,4,6,2,4,4,1
587,4,2,1,1,2,6,4,6,6,2
588,5,5,6,6,5,4,2,2,5,4
589,1,1,1,1,1,5,1,4,4,2
590,6,6,6,5,6,3,6,1,6,4
591,2,2,2,2,4,4,2,4,5,2
592,4,5,3,4,3,3,5,4,3,3
593,4,3,2,1,2,6,1,5,6,2
594,5,5,6,6,6,5,5,4,6,3
595,1,5,4,6,6,6,2,6,6,2
596,1,1,2,2,5,4,4,5,4,4
597,4,4,5,6,2,6,2,5,6,2
598,4,3,5,4,6,5,1,3,5,6
599,1,2,1,3,4,3,3,3,1,2
600,2,3,3,4,4,2,2,4,4,2
601,2,2,2,2,1,6,2,6,4,2
602,3,3,3,2,2,5,2,5,5,1
603,3,4,2,3,3,5,2,5,5,2
604,4,4,2,5,4,4,1,3,4,2
605,3,6,6,2,1,5,4,3,5,1
606,3,5,2,2,2,1,2,5,3,2
607,2,2,2,2,1,5,1,5,6,2
608,2,3,5,2,2,6,2,5,4,2
609,2,2,4,6,4,2,2,6,5,1
610,1,1,1,1,1,5,1,3,5,2
611,1,2,1,1,2,4,4,6,4,1
612,4,5,5,6,4,6,1,6,6,1
613,2,3,4,5,3,4,2,5,5,4
614,4,5,5,1,1,4,1,6,3,3
615,1,1,3,1,1,5,1,6,4,4
616,1,1,2,4,2,6,2,4,6,1
617,4,5,3,2,5,4,2,5,6,2
618,4,5,4,4,1,1,1,2,5,1
619,3,3,2,3,4,4,4,4,4,2
620,6,6,6,6,1,6,1,6,6,1
621,4,4,4,4,4,4,5,4,4,4
622,5,5,6,5,5,4,2,4,3,2
623,5,6,4,4,4,5,1,4,4,2
624,1,2,2,4,1,3,2,4,5,2
625,6,6,5,5,3,4,6,3,3,3
626,5,5,5,4,4,5,4,1,2,5
627,6,6,4,3,6,6,6,5,6,4
628,5,5,2,4,6,4,5,3,4,3
629,5,6,2,2,3,4,3,2,6,3
630,4,5,2,2,1,5,1,5,6,2
631,1,5,4,2,4,4,1,5,5,1
632,4,5,4,5,4,4,2,4,5,3
633,1,1,1,1,1,2,2,4,5,2
